DATE,Quarter,FDHBFRBN,FDHBFIN,FYGFDPUN,FDHBATN,GDPD
1/1/81,Q1 1981,119,138.2,773676,190855,44.943
4/1/81,Q2 1981,120,136.6,771255,199919,45.834
7/1/81,Q3 1981,124.3,130.7,789799,208056,46.696
10/1/81,Q4 1981,131,136.6,825509,203220,47.503
1/1/82,Q1 1982,126.6,136.1,858888,202411,48.157
4/1/82,Q2 1982,127,137.2,867916,211714,48.783
7/1/82,Q3 1982,134.4,140.6,925631,216404,49.475
10/1/82,Q4 1982,139.3,149.5,987719,209355,49.987
1/1/83,Q1 1983,136.7,156.2,1043339,201155,50.364
4/1/83,Q2 1983,141.7,160.1,1090291,229290,50.739
7/1/83,Q3 1983,155.4,160.1,1138188,239023,51.278
10/1/83,Q4 1983,151.9,166.3,1174425,236277,51.667
1/1/84,Q1 1984,150.8,166.3,1223898,239843,52.19
4/1/84,Q2 1984,152.9,171.6,1255100,257597,52.636
7/1/84,Q3 1984,155,175.6,1309183,263084,53.104
10/1/84,Q4 1984,160.9,192.9,1373366,289600,53.501
1/1/85,Q1 1985,161,199.6,1415232,295499,54.03
4/1/85,Q2 1985,169.1,213.8,1460484,314156,54.378
7/1/85,Q3 1985,169.7,222.9,1506558,316545,54.706
10/1/85,Q4 1985,181.3,224.8,1597083,348859,55.012
1/1/86,Q1 1986,184.8,232.6,1634259,352557,55.286
4/1/86,Q2 1986,183.9,250.9,1684939,374410,55.495
7/1/86,Q3 1986,190.8,265.5,1742445,382859,55.723
10/1/86,Q4 1986,211.3,263.4,1811744,403091,56.026
1/1/87,Q1 1987,196.4,272.8,1839271,407453,56.382
4/1/87,Q2 1987,212.3,281.1,1871150,438146,56.773
7/1/87,Q3 1987,211.9,279.5,1893110,457167,57.202
10/1/87,Q4 1987,222.6,299.7,1954065,477650,57.658
1/1/88,Q1 1988,217.5,332.5,1996711,490840,58.11
4/1/88,Q2 1988,227.6,345.4,2013414,534242,58.676
7/1/88,Q3 1988,229.2,345.9,2051735,550448,59.377
10/1/88,Q4 1988,238.4,362.2,2095179,589213,59.89
1/1/89,Q1 1989,228.6,373.5,2133419,607479,60.515
4/1/89,Q2 1989,231.8,366.4,2142122,657801,61.159
7/1/89,Q3 1989,221.1,391.8,2180726,676705,61.606
10/1/89,Q4 1989,226.8,426.1,2245171,707823,62.045
1/1/90,Q1 1990,217.9,445.4,2329264,722694,62.714
4/1/90,Q2 1990,231.4,451,2368772,774982,63.416
7/1/90,Q3 1990,234.4,463.8,2437551,795762,63.96
10/1/90,Q4 1990,235.1,487.1,2536545,828275,64.436
1/1/91,Q1 1991,241,492,2598351,866838,65.067
4/1/91,Q2 1991,247.5,502,2642863,895125,65.545
7/1/91,Q3 1991,258.6,506.3,2745729,919573,66.057
10/1/91,Q4 1991,266.5,520.9,2833034,968664,66.449
1/1/92,Q1 1992,265.8,536.4,2917630,963658,66.696
4/1/92,Q2 1992,276.9,558.2,2976774,1007882,67.097
7/1/92,Q3 1992,279.7,562.8,3048291,1016330,67.425
10/1/92,Q4 1992,295,576.7,3129308,1047701,67.889
1/1/93,Q1 1993,298.5,585.9,3187556,1043024,68.27
4/1/93,Q2 1993,313.1,596.8,3252285,1099665,68.676
7/1/93,Q3 1993,319.4,619.1,3294796,1116693,69.084
10/1/93,Q4 1993,332,650.3,3382197,1153490,69.461
1/1/94,Q1 1994,337.3,661.1,3434208,1141661,69.793
4/1/94,Q2 1994,347.6,659.9,3442868,1202934,70.13
7/1/94,Q3 1994,353,682,3479652,1213098,70.532
10/1/94,Q4 1994,364.5,667.3,3543118,1257032,70.915
1/1/95,Q1 1995,363.7,707,3609459,1254657,71.3
4/1/95,Q2 1995,372.6,762.5,3634808,1316564,71.642
7/1/95,Q3 1995,367.7,820.4,3653199,1320784,71.995
10/1/95,Q4 1995,378.2,835.2,3684209,1304456,72.342
1/1/96,Q1 1996,377.1,908.1,3764019,1353767,72.69
4/1/96,Q2 1996,383.9,929.7,3738633,1422443,72.991
7/1/96,Q3 1996,383.9,993.4,3777808,1447003,73.23
10/1/96,Q4 1996,390.9,1102.1,3825994,1497178,73.621
1/1/97,Q1 1997,395.1,1157.6,3874106,1506784,74.06
4/1/97,Q2 1997,410.9,1182.7,3804568,1571583,74.21
7/1/97,Q3 1997,411.8,1230.5,3816381,1596765,74.532
10/1/97,Q4 1997,430.7,1241.6,3846706,1655682,74.777
1/1/98,Q1 1998,433.2,1250.5,3872048,1670378,74.887
4/1/98,Q2 1998,439.8,1256,3790379,1757556,75.063
7/1/98,Q3 1998,446,1224.2,3762333,1763860,75.386
