Country,Code,year_00,year_01,year_02,year_03,year_04,year_05,year_06,year_07,year_08,year_09,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,color,tooltip_00,tooltip_01,tooltip_02,tooltip_03,tooltip_04,tooltip_05,tooltip_06,tooltip_07,tooltip_08,tooltip_09,tooltip_10,tooltip_11,tooltip_12,tooltip_13,tooltip_14,tooltip_15,tooltip_16,tooltip_17,tooltip_18,tooltip_19,tooltip_20,tooltip_21
Japan,JPN,481.9797078,471.6561285,552.3668341,789.0922457,962.5325943,906.3422244,817.4060563,740.9527309,784.802275,953.8292926,1086.025553,1275.909245,1315.338552,1375.649453,1405.665617,1269.064298,1221.099743,1166.275197,1115.565746,1217.71581,1303.301706,1304,#333f50,0.342883615,0.335539351,0.392957491,0.561365545,0.684752179,0.644777971,0.581508181,0.52711877,0.558313631,0.678560592,0.772605903,0.907690442,0.935740717,0.978646298,1,0.9028209,0.868698592,0.829696041,0.793620995,0.86629124,0.927177623,0.927674394
China,CHN,91.48056777,116.6158279,172.9707304,227.7880666,310.9849475,419.3523725,520.8355494,610.2414628,911.9251994,1114.648624,1427.970354,1389.017918,1444.599684,1477.55803,1420.968176,1408.928209,1184.829453,1301.732743,1206.338914,1127.799641,1116.862798,1068.7,#333f50,0.06191335,0.078924702,0.11706527,0.154165225,0.210472239,0.283814486,0.352497526,0.413006765,0.617184016,0.754385683,0.966439439,0.940076728,0.977694043,1,0.961700419,0.953551861,0.801883533,0.881002787,0.816440972,0.763286191,0.755884219,0.723288005
United Kingdom,GBR,76.15795194,66.76478698,118.0408363,117.7621325,133.6579541,197.5014399,121.5151723,201.7527784,164.3571538,224.5989571,331.1128569,137.8285858,145.59633,177.0603355,205.2141615,234.1618105,243.1452733,274.5404782,309.0150379,413.3192254,458.9105184,647.4,#333f50,0.117636626,0.103127567,0.182330609,0.181900112,0.206453435,0.305068644,0.187697208,0.311635432,0.25387265,0.346924555,0.511450196,0.21289556,0.22489393,0.273494494,0.316982023,0.361695722,0.375571939,0.424066231,0.477317019,0.638429449,0.708851589,1
Ireland,IRL,0,0,10.22631007,21.34617731,22.60186698,26.6491669,15.22220301,23.89345761,68.07470213,54.31233794,56.25225859,114.7968624,122.040501,208.9358493,230.6803597,298.9492163,322.626463,358.8032019,300.32399,297.1555462,331.3196457,334.3,#333f50,0,0,0.028501167,0.059492717,0.062992378,0.074272378,0.042424936,0.066592097,0.189727131,0.151370828,0.156777471,0.319943807,0.34013214,0.582313224,0.642916112,0.83318436,0.899173868,1,0.837015914,0.828185325,0.923402143,0.931708519
Luxembourg,LUX,0,0,34.91554439,36.38878548,57.76032672,48.15788535,78.73553279,88.16302541,121.9828456,110.1195109,102.780385,177.8627857,183.119937,156.585553,196.1925039,225.6817835,251.0933923,239.0556544,247.3193272,268.3781556,299.6562782,325.6,#333f50,0,0,0.107234473,0.111759169,0.177396581,0.147905053,0.241816747,0.270770963,0.374640189,0.338204886,0.315664573,0.546261627,0.562407669,0.480913861,0.60255683,0.693125871,0.771171352,0.734200413,0.759580243,0.824257235,0.920320265,1
Switzerland,CHE,24.88028709,27.74447815,49.67064893,66.04421301,58.17887981,41.66468733,45.01047958,49.70350273,78.10412417,111.7389154,129.7371566,171.7129538,231.296934,205.5621635,217.0907741,261.9762988,257.4742765,274.2108978,246.6755459,250.352757,266.1181059,288,#333f50,0.086389886,0.096334994,0.172467531,0.229320184,0.202009999,0.144669053,0.156286387,0.172581607,0.271194876,0.387982345,0.450476238,0.596225534,0.803114354,0.713757512,0.75378741,0.909639926,0.894007905,0.952121173,0.856512312,0.869280406,0.924021201,1
Belgium,BEL,0,0,18.99171871,20.62986263,23.71800856,22.99674301,17.84672077,16.86597008,19.93347631,21.55053776,40.86597342,163.0308382,164.298948,298.745691,383.0207556,137.6025704,134.7821865,130.9532813,198.60654,218.6238392,264.0349896,271.7,#333f50,0,0,0.049584046,0.053860952,0.06192356,0.060040462,0.046594657,0.044034089,0.05204281,0.056264674,0.106693888,0.425644918,0.42895573,0.779972591,1,0.359256172,0.351892644,0.341896044,0.518526835,0.570788491,0.689349039,0.709361036
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0,168.205191,189.0427367,214.5784138,282.4414305,292.5131672,187.4213909,242.0617797,251.0906389,232.1633104,261.9,#333f50,0,0,0,0,0,0,0,0,0,0,0,0,0.575034596,0.646270862,0.733568392,0.965568262,1,0.640728049,0.827524388,0.858390893,0.793684991,0.895344311
Taiwan,TWN,50.67082858,52.37326623,54.63771382,72.92083389,94.73251653,92.12224698,77.94817746,48.80909523,90.01406285,145.1235635,191.0361167,213.7970977,231.296934,211.9605331,199.1616571,202.0507751,211.9125241,198.7369848,168.7780051,203.5499679,245.1827872,251,#333f50,0.201875811,0.208658431,0.217680135,0.290521251,0.377420385,0.367020904,0.310550508,0.194458547,0.358621764,0.578181528,0.761100067,0.851781266,0.921501729,0.844464275,0.793472737,0.804983168,0.844273004,0.791780816,0.672422331,0.810956047,0.976823853,1
Brazil,BRA,0,0,18.55344828,16.90502632,21.20669,38.82391319,68.36868764,165.9764783,159.217075,210.7717335,221.1932357,273.6072277,299.833743,285.4836159,292.1189901,288.0947818,290.1623151,282.1208275,325.216868,297.0501345,269.0344687,244.5,#333f50,0,0,0.057049465,0.05198078,0.065207842,0.119378535,0.210224913,0.510356303,0.489572008,0.648095945,0.680140723,0.841307,0.921950159,0.877825365,0.898228287,0.885854364,0.892211763,0.867485224,1,0.913390921,0.827246355,0.751806023
