Country,U.S. Debt Holdings
:jp: Japan,1304
:cn: China,1068.7
:uk: United Kingdom,647.4
:ie: Ireland,334.3
:lu: Luxembourg,325.6
:ch: Switzerland,288
:be: Belgium,271.7
:ky: Cayman Islands,261.9
:tw: Taiwan,251
:br: Brazil,244.5
:hk: Hong Kong,225.7
:fr: France,224.9
:ca: Canada,202
:in: India,198.9
:sg: Singapore,194.5
:kr: South Korea,131.2
:sa: Saudi Arabia,119
:no: Norway,97.6
:de: Germany,83.4
:bm: Bermuda,71.9
:il: Israel,69.1
:nl: Netherlands,68.1
:th: Thailand,62.2
:au: Australia,53.5
:ph: Philippines,48.6
:kw: Kuwait,46.4
:mx: Mexico,46.2
:ae: UAE,44.8
:vn: Vietnam,43
:it: Italy,42.4
:pl: Poland,42.2
:se: Sweden,40.5
:cl: Chile,35.8
:bs: Bahamas,34.9
:co: Colombia,33.1
:pe: Peru,28
:es: Spain,24.9
:id: Indonesia,23.7
:iq: Iraq,22.5
:za: South Africa,16.3
:dk: Denmark,14.8
:eg: Egypt,14.3
:uy: Uruguay,12.3
