Date,Year,debt_public,debt_fed_vet,debt_ss,debt_medi,Pop,GDPD
1/1/00,2000,3409.9,2764.7,3845,9193,282398,78.025
1/1/01,2001,3319.8,3360.8,4207,12814,285225,79.783
1/1/02,2002,3573.2,3589.4,4562,13251,287955,81.026
1/1/03,2003,3944.9,3880,4927,15819,290626,82.625
1/1/04,2004,4329.4,4062.1,5229,28051,293262,84.843
1/1/05,2005,4624.2,4491.8,5704,29899,295993,87.504
1/1/06,2006,4867.5,4679,6449,32305,298818,90.204
1/1/07,2007,5077.7,4769.1,6763,34085,301696,92.642
1/1/08,2008,5836.2,5318.9,6555,36312,304543,94.419
1/1/09,2009,7582.7,5283.7,7677,38107,307240,95.024
1/1/10,2010,9060,5720.3,7947,22813,309839,96.166
1/1/11,2011,10174.1,5792.2,9157,24572,312295,98.164
1/1/12,2012,11332.3,6274,11278,27174,314725,100
1/1/13,2013,12028.4,6538.3,12294,27302,317099,101.751
1/1/14,2014,12833.6,6672.6,13330,28483,319601,103.654
1/1/15,2015,13172.5,6772.4,13440,27940,322113,104.691
1/1/16,2016,14221.1,7209.4,14100,32500,324609,105.74
1/1/17,2017,14673.4,7700.1,15400,33500,326860,107.747
1/1/18,2018,15812.7,7982.3,16200,37700,328794,110.321
1/1/19,2019,16861,8440.3,16800,42200,330513,112.294
1/1/20,2020,21082.9,9415.5,19700,45700,331761,113.648
1/1/21,2021,22344.8,10183,22700,48200,332213,118.371
