Date,Year,Pop,local_debt,state_debt,pen_debt,GDPD
1/1/00,2000,282398,903939398,547875824,717447,78.025
1/1/01,2001,285225,977524377,576493534,1047804,79.783
1/1/02,2002,287955,1044581731,636795733,1444877,81.026
1/1/03,2003,290626,1114737677,697929028,1344536,82.625
1/1/04,2004,293262,1197045814,779542249,1416936,84.843
1/1/05,2005,295993,1274174036,810851720,1596432,87.504
1/1/06,2006,298818,1333984054,870031903,1543042,90.204
1/1/07,2007,301696,1474774645,936523700,1629817,92.642
1/1/08,2008,304543,1546753348,1004180935,2695341,94.419
1/1/09,2009,307240,1664562818,1048655489,2617191,95.024
1/1/10,2010,309839,1728727112,1115462639,2854805,96.166
1/1/11,2011,312295,1783473905,1139664136,3131852,98.164
1/1/12,2012,314725,1803747989,1146720479,3000985,100
1/1/13,2013,317099,1831342336,1138643440,3533384,101.751
1/1/14,2014,319601,1827729716,1152281859,3722699,103.654
1/1/15,2015,322113,1833349837,1155113383,4075347,104.691
1/1/16,2016,324609,1851876765,1170611576,4221631,105.74
1/1/17,2017,326860,1904677906,1156627748,4015608,107.747
1/1/18,2018,328794,1958753531,1173489819,4488927,110.321
1/1/19,2019,330513,1995950096,1174375288,4205490,112.294
1/1/20,2020,331761,2039860998,1200211544,4020321,113.648
1/1/21,2021,332213,2090763689,1230161623,3601836,118.371
