Date,Quarter,Debt,Population,GDPD,GDP
1/1/65,Q1 1965,317697,193467,17.658,717.79
4/1/65,Q2 1965,317274,193994,17.739,730.191
7/1/65,Q3 1965,316748,194647,17.808,749.323
10/1/65,Q4 1965,320904,195279,17.93,771.857
1/1/66,Q1 1966,320999,195763,18.046,795.734
4/1/66,Q2 1966,316097,196277,18.193,804.981
7/1/66,Q3 1966,324748,196877,18.369,819.638
10/1/66,Q4 1966,329319,197481,18.523,833.302
1/1/67,Q1 1967,330947,197967,18.6,844.17
4/1/67,Q2 1967,322893,198455,18.695,848.983
7/1/67,Q3 1967,335896,199012,18.874,865.233
10/1/67,Q4 1967,344663,199572,19.084,881.439
1/1/68,Q1 1968,349473,199995,19.295,909.387
4/1/68,Q2 1968,345369,200452,19.499,934.344
7/1/68,Q3 1968,354743,200997,19.69,950.825
10/1/68,Q4 1968,358029,201538,19.968,968.03
1/1/69,Q1 1969,359546,201955,20.174,993.337
4/1/69,Q2 1969,352895,202419,20.431,1009.02
7/1/69,Q3 1969,360685,202986,20.718,1029.956
10/1/69,Q4 1969,368226,203584,20.985,1038.147
1/1/70,Q1 1970,372007,204086,21.28,1051.2
4/1/70,Q2 1970,370094,204721,21.577,1067.375
7/1/70,Q3 1970,378678,205419,21.754,1086.059
10/1/70,Q4 1970,389158,206130,22.042,1088.608
1/1/71,Q1 1971,391668,206763,22.376,1135.156
4/1/71,Q2 1971,397305,207362,22.67,1156.271
7/1/71,Q3 1971,412268,208000,22.901,1177.675
10/1/71,Q4 1971,424131,208642,23.092,1190.297
1/1/72,Q1 1972,427344,209142,23.443,1230.609
4/1/72,Q2 1972,426435,209637,23.589,1266.369
7/1/72,Q3 1972,433946,210181,23.815,1290.566
10/1/72,Q4 1972,448473,210737,24.118,1328.904
1/1/73,Q1 1973,458606,211192,24.396,1377.49
4/1/73,Q2 1973,457317,211663,24.771,1413.887
7/1/73,Q3 1973,460614,212191,25.254,1433.838
10/1/73,Q4 1973,469073,212708,25.757,1476.289
1/1/74,Q1 1974,473675,213144,26.243,1491.209
4/1/74,Q2 1974,474235,213602,26.863,1530.056
7/1/74,Q3 1974,481466,214147,27.65,1560.026
10/1/74,Q4 1974,492664,214700,28.463,1599.679
1/1/75,Q1 1975,509659,215135,29.11,1616.116
4/1/75,Q2 1975,533188,215652,29.543,1651.853
7/1/75,Q3 1975,553647,216289,30.065,1709.82
10/1/75,Q4 1975,576649,216848,30.568,1761.831
1/1/76,Q1 1976,600490,217314,30.891,1820.487
4/1/76,Q2 1976,620432,217776,31.202,1852.332
7/1/76,Q3 1976,634701,218338,31.605,1886.558
10/1/76,Q4 1976,653543,218917,32.172,1934.273
1/1/77,Q1 1977,669207,219427,32.69,1988.648
4/1/77,Q2 1977,674425,219956,33.151,2055.909
7/1/77,Q3 1977,698840,220573,33.554,2118.473
10/1/77,Q4 1977,718943,221201,34.279,2164.27
1/1/78,Q1 1978,737951,221719,34.778,2202.76
4/1/78,Q2 1978,749024,222281,35.443,2331.633
7/1/78,Q3 1978,771544,222933,36.044,2395.053
10/1/78,Q4 1978,789207,223583,36.782,2476.949
1/1/79,Q1 1979,796792,224152,37.452,2526.61
4/1/79,Q2 1979,804913,224737,38.37,2591.247
7/1/79,Q3 1979,826519,225418,39.208,2667.565
10/1/79,Q4 1979,845116,226117,39.936,2723.883
1/1/80,Q1 1980,863451,226754,40.775,2789.842
4/1/80,Q2 1980,877614,227389,41.745,2797.352
7/1/80,Q3 1980,907701,228070,42.678,2856.483
10/1/80,Q4 1980,930210,228689,43.79,2985.557
1/1/81,Q1 1981,964531,229155,44.943,3124.206
4/1/81,Q2 1981,971174,229674,45.834,3162.532
7/1/81,Q3 1981,997855,230301,46.696,3260.609
10/1/81,Q4 1981,1028729,230903,47.503,3280.818
1/1/82,Q1 1982,1061299,231395,48.157,3274.302
4/1/82,Q2 1982,1079630,231906,48.783,3331.972
7/1/82,Q3 1982,1142035,232498,49.475,3366.322
10/1/82,Q4 1982,1197074,233074,49.987,3402.561
1/1/83,Q1 1983,1244493,233546,50.364,3473.413
4/1/83,Q2 1983,1319581,234028,50.739,3578.848
7/1/83,Q3 1983,1377211,234603,51.278,3689.179
10/1/83,Q4 1983,1410702,235153,51.667,3794.706
1/1/84,Q1 1984,1463741,235605,52.19,3908.054
4/1/84,Q2 1984,1512697,236082,52.636,4009.601
7/1/84,Q3 1984,1572267,236657,53.104,4084.25
10/1/84,Q4 1984,1662966,237232,53.501,4148.551
1/1/85,Q1 1985,1710731,237673,54.03,4230.168
4/1/85,Q2 1985,1774640,238176,54.378,4294.887
7/1/85,Q3 1985,1823103,238789,54.706,4386.773
10/1/85,Q4 1985,1945942,239387,55.012,4444.094
1/1/86,Q1 1986,1986816,239861,55.286,4507.894
4/1/86,Q2 1986,2059349,240368,55.495,4545.34
7/1/86,Q3 1986,2125304,240962,55.723,4607.669
10/1/86,Q4 1986,2214835,241539,56.026,4657.627
