Date,Quarter,Receipts,Expenditures,GDPD,GDP
1/1/65,Q1 1965,118980,119954,17.658,717.79
4/1/65,Q2 1965,120868,122907,17.739,730.191
7/1/65,Q3 1965,119248,128665,17.808,749.323
10/1/65,Q4 1965,122611,132243,17.93,771.857
1/1/66,Q1 1966,131961,136056,18.046,795.734
4/1/66,Q2 1966,136737,142395,18.193,804.981
7/1/66,Q3 1966,139097,146957,18.369,819.638
10/1/66,Q4 1966,141754,152091,18.523,833.302
1/1/67,Q1 1967,142613,161919,18.6,844.17
4/1/67,Q2 1967,143666,164163,18.695,848.983
7/1/67,Q3 1967,147219,166058,18.874,865.233
10/1/67,Q4 1967,151530,170992,19.084,881.439
1/1/68,Q1 1968,160283,177285,19.295,909.387
4/1/68,Q2 1968,165013,183665,19.499,934.344
7/1/68,Q3 1968,176139,186229,19.69,950.825
10/1/68,Q4 1968,180877,190202,19.968,968.03
1/1/69,Q1 1969,190311,188097,20.174,993.337
4/1/69,Q2 1969,193411,194972,20.431,1009.02
7/1/69,Q3 1969,191114,199772,20.718,1029.956
10/1/69,Q4 1969,192503,205097,20.985,1038.147
1/1/70,Q1 1970,186404,208693,21.28,1051.2
4/1/70,Q2 1970,187428,220110,21.577,1067.375
7/1/70,Q3 1970,183818,223370,21.754,1086.059
10/1/70,Q4 1970,182860,227603,22.042,1088.608
1/1/71,Q1 1971,187534,233120,22.376,1135.156
4/1/71,Q2 1971,190401,242896,22.67,1156.271
7/1/71,Q3 1971,190828,242609,22.901,1177.675
10/1/71,Q4 1971,194062,247782,23.092,1190.297
1/1/72,Q1 1972,213089,258846,23.443,1230.609
4/1/72,Q2 1972,216471,267560,23.589,1266.369
7/1/72,Q3 1972,219399,260264,23.815,1290.566
10/1/72,Q4 1972,227075,285409,24.118,1328.904
1/1/73,Q1 1973,242522,283042,24.396,1377.49
4/1/73,Q2 1973,246522,287360,24.771,1413.887
7/1/73,Q3 1973,249570,286911,25.254,1433.838
10/1/73,Q4 1973,258372,292909,25.757,1476.289
1/1/74,Q1 1974,265946,302072,26.243,1491.209
4/1/74,Q2 1974,276413,314483,26.863,1530.056
7/1/74,Q3 1974,287468,324454,27.65,1560.026
10/1/74,Q4 1974,284178,338388,28.463,1599.679
1/1/75,Q1 1975,277795,354024,29.11,1616.116
4/1/75,Q2 1975,244783,377665,29.543,1651.853
